cp	max_depth	mb	min_split	ganancia_promedio
-1	4	1	1000	70149333
-1	4	250	1000	74428667
-1	4	500	1000	74979333
-1	4	1	800	70149333
-1	4	200	800	74428667
-1	4	400	800	75194000
-1	4	1	600	70149333
-1	4	150	600	70368667
-1	4	300	600	75273333
-1	4	1	400	70149333
-1	4	100	400	70396667
-1	4	200	400	74428667
-1	4	1	200	70149333
-1	4	50	200	70373333
-1	4	100	200	70396667
-1	4	1	100	70149333
-1	4	25	100	70065333
-1	4	50	100	70373333
-1	4	1	50	70149333
-1	4	12	50	70168000
-1	4	25	50	70065333
-1	4	1	20	70149333
-1	4	5	20	70135333
-1	4	10	20	70121333
-1	4	1	10	70149333
-1	4	2	10	70130667
-1	4	5	10	70135333
-1	6	1	1000	91676667
-1	6	250	1000	95424000
-1	6	500	1000	91718667
-1	6	1	800	91676667
-1	6	200	800	94439333
-1	6	400	800	96264000
-1	6	1	600	91676667
-1	6	150	600	92717333
-1	6	300	600	92992667
-1	6	1	400	92204000
-1	6	100	400	91704667
-1	6	200	400	94696000
-1	6	1	200	92311333
-1	6	50	200	92269333
-1	6	100	200	92185333
-1	6	1	100	92283333
-1	6	25	100	94579333
-1	6	50	100	93188667
-1	6	1	50	92283333
-1	6	12	50	94243333
-1	6	25	50	94654000
-1	6	1	20	92073333
-1	6	5	20	93618000
-1	6	10	20	94411333
-1	6	1	10	91266000
-1	6	2	10	92269333
-1	6	5	10	92876000
-1	8	1	1000	97258000
-1	8	250	1000	92470000
-1	8	500	1000	91158667
-1	8	1	800	96119333
-1	8	200	800	89810000
-1	8	400	800	88890667
-1	8	1	600	96119333
-1	8	150	600	88116000
-1	8	300	600	89306000
-1	8	1	400	96618667
-1	8	100	400	87168667
-1	8	200	400	88606000
-1	8	1	200	95004000
-1	8	50	200	82035333
-1	8	100	200	85936667
-1	8	1	100	95620000
-1	8	25	100	89586000
-1	8	50	100	82446000
-1	8	1	50	95657333
-1	8	12	50	95368000
-1	8	25	50	89110000
-1	8	1	20	95148667
-1	8	5	20	94537333
-1	8	10	20	97575333
-1	8	1	10	92390667
-1	8	2	10	93412667
-1	8	5	10	92852667
-1	10	1	1000	90948667
-1	10	250	1000	91228667
-1	10	500	1000	95097333
-1	10	1	800	89819333
-1	10	200	800	89315333
-1	10	400	800	89054000
-1	10	1	600	89637333
-1	10	150	600	76864667
-1	10	300	600	89147333
-1	10	1	400	88512667
-1	10	100	400	75978000
-1	10	200	400	86319333
-1	10	1	200	85250667
-1	10	50	200	75208000
-1	10	100	200	71740667
-1	10	1	100	86548000
-1	10	25	100	81783333
-1	10	50	100	71194667
-1	10	1	50	85801333
-1	10	12	50	80131333
-1	10	25	50	80448667
-1	10	1	20	84662667
-1	10	5	20	83449333
-1	10	10	20	86464000
-1	10	1	10	81424000
-1	10	2	10	83486667
-1	10	5	10	80784667
-1	12	1	1000	89105333
