fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230902 172748	-0.12083736845525	4205	1051	4	10	5	60965100	1
20230902 173019	-0.606600891865673	6107	575	11	10	5	54215000	2
20230902 173243	-0.704806094639935	7480	2262	20	10	5	52215100	3
20230902 173454	-0.382668360532261	6721	1702	9	10	5	54114900	4
20230902 173702	-0.288724895654013	1553	236	7	10	5	74051600	5
20230902 173946	-0.014508578389359	5409	890	18	10	5	58737700	6
20230902 174233	-0.896961084699433	7589	356	14	10	5	51944200	7
20230902 174503	-0.295699159418129	6367	1434	19	10	5	54455800	8
20230902 174716	-0.111478102023506	7414	3422	17	10	5	52715600	9
20230902 174927	-0.53092803240288	5764	2809	14	10	5	55763400	10
20230902 175130	-0.211062144100045	4855	441	7	10	5	64885100	11
20230902 175354	-0.278983119530603	7953	1643	15	10	5	51972200	12
20230902 175526	0.0800153129547834	5567	17	5	10	5	0	13
20230902 175733	-0.0359082685007402	6629	1072	7	10	5	53690700	14
20230902 175925	-0.853366874915082	3717	1829	6	10	5	64354500	15
20230902 180044	-0.140641123638488	7802	424	3	10	5	51972200	16
20230902 180232	-0.248063306276155	1346	256	5	10	5	71745800	17
20230902 180534	-0.30189513635524	1063	527	13	10	5	70128100	18
20230902 180658	-0.278828354599662	2370	1184	3	10	5	57810200	19
20230902 180820	-0.371412096278508	468	232	3	10	5	60671100	20
20230902 181206	-0.274029165961288	1667	142	20	10	5	72102100	21
20230902 181443	-0.280311190639902	486	1	9	10	5	71738800	22
20230902 181837	-0.183808047794554	1728	1	15	10	5	68770800	23
20230902 182142	-0.293031954751114	1723	2	11	10	5	69874000	24
20230902 182449	-0.153190357020102	1460	729	20	10	5	68605600	25
20230902 182800	-0.272045320856781	548	261	12	10	5	65850400	26
20230902 183216	-0.331009046963449	1153	59	20	10	5	65031400	27
20230902 183433	-0.304500119556378	901	2	7	10	5	71351000	28
20230902 183656	-0.20453008990226	1496	515	8	10	5	71412600	29
20230902 184009	-0.219772726536674	2580	524	20	10	5	71377600	30
20230902 184311	-0.286296919108712	1879	880	17	10	5	66376800	31
20230902 184537	-0.248454658262359	1647	1	8	10	5	71034600	32
20230902 184957	-0.177051801930637	3787	1	20	10	5	62491100	33
20230902 185428	-0.222892801382115	1327	5	20	10	5	62268500	34
20230902 185656	-0.15658221683667	1633	555	8	10	5	70986300	35
20230902 185822	-0.188724483965218	2289	496	3	10	5	60671100	36
20230902 190012	-0.968605371703875	1554	656	5	10	5	69871900	37
20230902 190241	-0.593437286916568	4757	1724	15	10	5	61898900	38
20230902 190649	-0.0436879464224798	2952	13	20	10	5	63339500	39
20230902 190817	0.0873309308077	1554	7	4	10	5	0	40
20230902 191136	-0.284518182224245	3188	460	20	10	5	68914300	41
20230902 191447	-0.157614368552595	1694	564	16	10	5	71059100	42
20230902 191713	-0.28289411291889	1470	656	8	10	5	70289100	43
20230902 192013	-0.114461235991682	1181	572	12	10	5	69693400	44
20230902 192139	-0.915271624185032	1410	705	3	10	5	60454800	45
20230902 192402	-0.999946092209588	2765	877	8	10	5	68133800	46
20230902 192740	-0.116221303364041	1554	279	20	10	5	72410800	47
20230902 193031	-0.102977099491342	2583	1273	20	10	5	66539900	48
20230902 193159	-0.968618847291	4101	2047	3	10	5	57796900	49
20230902 193516	-0.986881945717917	15	3	11	10	5	59387300	50
20230902 193724	-0.286308094017341	957	53	6	10	5	72471000	51
20230902 193926	-0.999938114386317	3649	447	6	10	5	68175800	52
20230902 194306	-0.129464200414366	2333	4	15	10	5	66605700	53
20230902 194641	-0.273041161494251	3172	154	17	10	5	68483100	54
20230902 194924	-0.201861940708178	3101	1541	17	10	5	64946700	55
20230902 195348	-0.0919157343185183	126	62	19	10	5	44977800	56
20230902 195553	-0.23285961871953	2666	531	6	10	5	71783600	57
20230902 200014	-0.956158491252572	2507	27	20	10	5	64865500	58
20230902 200335	-0.243800158735068	4151	430	20	10	5	67578700	59
20230902 200544	-0.319162545152823	1511	555	6	10	5	70295400	60
20230902 200854	-0.841734793940706	1730	853	20	10	5	67303600	61
20230902 201126	-0.816423000718108	1851	108	8	10	5	73966900	62
20230902 201410	-0.801975457131999	2439	1199	11	10	5	67371500	63
20230902 201632	-0.83355367153537	287	126	7	10	5	71229200	64
20230902 201922	-0.832619079192669	2816	7	10	10	5	66010700	65
20230902 202102	-0.811176285725613	367	180	4	10	5	65653700	66
20230902 202430	-0.639578525905559	1828	181	15	10	5	73197600	67
20230902 202729	-0.153433738691012	2239	800	14	10	5	69298600	68
20230902 203002	-0.629682656493084	1717	118	8	10	5	74074700	69
