fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230902 203317	-0.777996424172739	1299	642	15	10	5	69585600	70
20230902 203451	0.0523873903106551	2805	404	20	10	5	0	71
20230902 203703	-0.659193253295439	1295	647	6	10	5	69391000	72
20230902 204052	-0.621017544188673	36	7	13	10	5	52218600	73
20230902 204308	-0.64098039348208	2727	93	7	10	5	71157100	74
20230902 204543	-0.632580894502986	2152	1060	9	10	5	66491600	75
20230902 204906	-0.701910617204359	1765	1	12	10	5	70377300	76
20230902 205149	-0.652213526017732	1793	2	9	10	5	71157800	77
20230902 205329	-0.580533363175904	2092	3	4	10	5	62526100	78
20230902 205509	-0.634038178192097	1746	17	4	10	5	64148000	79
20230902 205845	-0.624107892592108	2830	234	20	10	5	70233800	80
20230902 210103	-0.746379777330616	1527	405	7	10	5	75012700	81
20230902 210417	-0.482012840400708	1987	332	15	10	5	74578000	82
20230902 210717	-0.0749646596634696	6019	532	20	10	5	54306000	83
20230902 211033	-0.543809142856167	2537	265	15	10	5	71686300	84
20230902 211302	-0.465310469004557	1698	334	8	10	5	74608100	85
20230902 211619	-0.422095259197606	1706	339	14	10	5	73958500	86
20230902 211812	-0.225199022449452	5591	2795	5	10	5	56103600	87
20230902 212040	-0.96745735926065	4827	2412	20	10	5	61762400	88
20230902 212358	-0.724012658207086	3977	369	18	10	5	67585000	89
20230902 212623	-0.0505885293876354	4821	2391	14	10	5	61827500	90
20230902 212838	-0.469327621808359	3862	364	7	10	5	67835600	91
20230902 213103	-0.511602101093535	1633	337	8	10	5	74316200	92
20230902 213312	-0.999436256547493	7997	3997	8	10	5	52364200	93
20230902 213529	-0.80553360795903	1407	421	7	10	5	75458600	94
20230902 213906	-0.713354823829772	1848	291	20	10	5	73546200	95
20230902 214049	-0.728159095145126	7998	3997	5	10	5	52364200	96
20230902 214426	-0.519144576875566	1739	312	20	10	5	73260600	97
20230902 214634	-0.999900724322453	6126	1319	7	10	5	54184900	98
20230902 214855	-0.812742280814866	5676	2838	15	10	5	56157500	99
20230902 215017	-0.444122872836088	7998	3990	3	10	5	52359300	100
20230902 215236	-0.784412258679705	1700	349	7	10	5	75282900	101
20230902 215514	-0.0632399506658321	1140	232	9	10	5	71463000	102
20230902 215640	-0.521910536409592	8000	1370	3	10	5	51972200	103
20230902 215948	-0.930854589162722	1822	400	13	10	5	74195800	104
20230902 220300	-0.814181099916311	1768	343	13	10	5	74034100	105
20230902 220518	-0.938559236502873	1405	253	7	10	5	73892000	106
20230902 220735	-0.999156903647315	7998	3999	20	10	5	52361400	107
20230902 221053	-0.999739055719488	1884	459	15	10	5	73432100	108
20230902 221406	-0.705560638005704	1911	405	14	10	5	74634000	109
20230902 221643	-0.713576429983387	1579	269	8	10	5	73465000	110
20230902 221918	-0.999902028219929	3594	1793	14	10	5	64544900	111
20230902 222047	-0.0264551677074306	7999	3992	3	10	5	52278100	112
20230902 222308	-0.86446374119397	1679	399	7	10	5	75366900	113
20230902 222530	-0.827089752767946	1659	395	7	10	5	75035800	114
20230902 222840	-0.070289173456489	4188	569	18	10	5	67526900	115
20230902 223156	-0.486364508193456	1713	256	13	10	5	73051300	116
20230902 223516	-0.744337238653914	2065	303	15	10	5	73556000	117
20230902 223855	-0.458723747343938	1960	348	19	10	5	74141200	118
20230902 224116	-0.999984803823471	1781	146	7	10	5	73933300	119
20230902 224435	-0.298448280116374	1811	287	14	10	5	73381000	120
20230902 224644	-0.291780005103338	4	2	6	10	5	71659000	121
20230902 224927	-0.273620237125772	1552	287	9	10	5	72884700	122
20230902 225302	-0.479256957278875	5042	310	20	10	5	63673400	123
20230902 225527	-0.47761626045469	1551	165	7	10	5	73409000	124
20230902 225740	-0.105316774711543	444	217	6	10	5	72656500	125
20230902 230107	-0.687470542591844	2051	458	18	10	5	73670800	126
20230902 230249	-0.234700537155008	8000	1879	4	10	5	51972200	127
20230902 230453	-0.0515835838640526	1568	536	6	10	5	70493500	128
20230902 230707	-0.890991567988643	1705	421	7	10	5	74958800	129
20230902 230927	-0.803183311076144	1728	448	7	10	5	74334400	130
20230902 231201	-0.873344462192406	1340	337	8	10	5	73836000	131
20230902 231516	-0.999895827433132	2146	195	13	10	5	72666300	132
20230902 231741	-0.778472202265998	1411	154	7	10	5	73462200	133
20230902 232011	-0.958939939843835	1910	337	8	10	5	74419800	134
20230902 232206	-0.476277940402769	4183	2091	5	10	5	63230300	135
20230902 232439	-0.241822943639684	4562	2278	20	10	5	62402900	136
20230902 232655	-0.417668427182394	7993	3994	20	10	5	52278100	137
20230902 233013	-0.904564065220566	2062	344	15	10	5	74214000	138
20230902 233235	-0.63410090058889	1811	389	7	10	5	74963700	139
20230902 233519	-0.391766955888181	1550	341	9	10	5	74086600	140
20230902 233741	-0.433191326641821	1556	387	7	10	5	75140100	141
20230902 234024	-0.441066533368672	1415	326	9	10	5	73405500	142
20230902 234301	-0.0604655452276796	4832	1759	20	10	5	61705700	143
20230902 234538	-0.726196858155873	3711	1854	20	10	5	64214500	144
20230902 234901	-0.969815502423876	2107	359	15	10	5	73388000	145
20230902 235124	-0.8154351090663	1235	366	7	10	5	74541600	146
20230902 235342	-0.416192066068503	2609	412	7	10	5	71903300	147
20230902 235544	-0.625674880544735	8000	2	6	10	5	51823100	148
20230902 235831	-0.179260535452768	5216	1331	15	10	5	61028800	149
20230903 000057	-0.0994837883995054	1437	252	7	10	5	73730300	150
20230903 000309	-0.722288646168182	4514	2257	7	10	5	63119700	151
20230903 000613	-0.913073176267565	4548	342	14	10	5	66422300	152
20230903 000908	-0.998778681714389	2530	1264	20	10	5	66772300	153
20230903 001121	-0.0207326698551797	8000	3999	19	10	5	52361400	154
20230903 001458	-0.383694566542377	1985	379	20	10	5	74724300	155
20230903 001723	-0.855614644026112	1604	255	7	10	5	74107600	156
20230903 001938	-0.497616377320885	2955	1476	7	10	5	65336600	157
20230903 002159	-0.919184520028155	1609	378	7	10	5	74895800	158
20230903 002327	-0.998572543449143	8000	3064	3	10	5	52049200	159
20230903 002454	0.0998221074305692	7996	3176	4	10	5	0	160
20230903 002827	-0.102121107117034	1968	408	19	10	5	74704700	161
20230903 003022	-0.388230768188501	7293	360	5	10	5	52252900	162
20230903 003250	-0.999952882714379	1517	407	7	10	5	75012700	163
20230903 003521	-0.78510950798152	1475	401	8	10	5	74482800	164
20230903 003745	-0.391487429469107	529	263	7	10	5	71778000	165
20230903 003948	-0.752136297679079	4763	7	6	10	5	60771900	166
20230903 004326	-0.0860539888216131	1901	399	20	10	5	74435200	167
20230903 004652	-0.601413317188771	1978	365	18	10	5	74474400	168
20230903 004902	-0.954596469280533	2298	1136	6	10	5	66857700	169
20230903 005118	-0.234865630324172	7997	3994	12	10	5	52278100	170
20230903 005340	-0.434745990959569	1906	287	7	10	5	74295200	171
20230903 005550	-0.253027790070712	3106	346	6	10	5	68977300	172
20230903 005919	-0.364892600488781	2002	347	18	10	5	74529000	173
20230903 010143	-0.661303294352838	6958	3479	20	10	5	52715600	174
20230903 010515	-0.508806212527513	1975	356	17	10	5	74281900	175
20230903 010906	-0.802880282242463	1949	118	18	10	5	72758700	176
20230903 011130	-0.999727398367419	8000	2892	20	10	5	52063900	177
20230903 011533	-0.619212736103547	1990	90	19	10	5	72267300	178
20230903 011731	-0.243246349425508	3733	1866	6	10	5	64184400	179
20230903 012041	-0.0948223461395404	1643	376	13	10	5	73847900	180
20230903 012404	-0.808316558553381	1934	372	16	10	5	74392500	181
20230903 012635	-0.0603392767901956	5586	2788	20	10	5	56138600	182
20230903 012907	-0.999772794402279	4350	6	8	10	5	61788300	183
20230903 013035	-0.871789239623605	7012	3506	3	10	5	52381000	184
20230903 013255	-0.799321501051892	1559	393	7	10	5	75101600	185
20230903 013455	-0.902558944546878	8000	2402	6	10	5	52215100	186
20230903 013708	-0.999365331050221	5279	2632	7	10	5	57673000	187
20230903 013942	-0.377238349632717	4930	2464	13	10	5	61387200	188
20230903 014314	-0.867198607677759	1917	104	15	10	5	72487100	189
20230903 014537	-0.999173349585874	1966	374	7	10	5	75007800	190
20230903 014802	-0.821874952562911	1461	349	7	10	5	75079900	191
20230903 015145	-0.0990295193353613	2021	206	20	10	5	73661000	192
20230903 015446	-0.0896843318843341	3942	945	20	10	5	68471200	193
20230903 015718	-0.869382268490718	4184	2081	17	10	5	63103600	194
20230903 020047	-0.862744767939363	1950	415	19	10	5	74451300	195
20230903 020344	-0.0691716579916339	1886	927	13	10	5	65208500	196
20230903 020632	-0.99005260488106	5409	1050	20	10	5	58802800	197
20230903 020853	-0.999514116356853	6596	3295	14	10	5	53463200	198
20230903 021113	-0.559125553155043	1859	414	7	10	5	74818800	199
20230903 021337	-0.695491632622536	1908	336	7	10	5	74913300	200
20230903 021507	-0.61104294982705	7999	2669	3	10	5	51972200	201
20230903 021728	-0.488747429749749	1741	406	7	10	5	75328400	202
20230903 022035	-0.107386029877842	2866	725	19	10	5	70316400	203
20230903 022319	-0.785394787807371	2970	1485	18	10	5	65160900	204
20230903 022541	-0.051884465099828	7997	2451	19	10	5	52215100	205
20230903 022911	-0.117521731735662	1974	418	20	10	5	74589200	206
20230903 023128	-0.603758134822642	1808	344	7	10	5	75096000	207
20230903 023455	-0.931535989627416	1944	415	18	10	5	74451300	208
20230903 023645	-0.237911730687648	7999	869	5	10	5	51972200	209
20230903 024003	-0.513183136647958	1862	418	15	10	5	74198600	210
20230903 024335	-0.705248629282211	1924	346	18	10	5	74249700	211
20230903 024707	-0.659388984974776	1995	417	20	10	5	74622100	212
20230903 025043	-0.729632181291807	2024	417	20	10	5	74614400	213
20230903 025422	-0.288694503828991	1962	369	20	10	5	74473700	214
20230903 025716	-0.493212861597152	2434	1212	20	10	5	67093600	215
20230903 025934	-0.384475943598771	8000	3082	20	10	5	52311000	216
20230903 030308	-0.999758588565849	2076	415	20	10	5	74498900	217
20230903 030432	-0.0872236106222191	4705	2349	3	10	5	56789600	218
20230903 030803	-0.808756262211484	1918	415	20	10	5	74408600	219
20230903 031114	-0.99970283252912	2132	632	20	10	5	69732600	220
20230903 031342	-0.999948932430329	7999	1785	20	10	5	51972200	221
20230903 031559	-0.524129895399139	8000	3627	12	10	5	52595200	222
20230903 031820	-0.240696378870305	1376	413	7	10	5	75323500	223
20230903 032041	-0.276218157501034	1376	414	7	10	5	75264700	224
20230903 032253	-0.879370733181691	4263	1176	7	10	5	67550000	225
20230903 032500	-0.713809856435796	4376	1254	6	10	5	67234300	226
20230903 032828	-0.489547061002326	7997	118	18	10	5	51867900	227
20230903 033050	-0.733556639864629	1668	391	7	10	5	75289900	228
20230903 033312	-0.978931770261793	1421	394	7	10	5	74979100	229
20230903 033642	-0.999701533431748	2005	389	18	10	5	74702600	230
20230903 033848	-0.950434533253758	1415	395	6	10	5	73700200	231
20230903 034216	-0.381079873855335	1859	115	14	10	5	72648800	232
20230903 034421	-0.0663690727188339	491	1	6	10	5	71552600	233
20230903 034718	-0.999405113409885	1918	367	11	10	5	74382000	234
20230903 035054	-0.350873219771948	1895	412	20	10	5	74425400	235
20230903 035427	-0.482248747098852	2067	395	20	10	5	74475800	236
20230903 035758	-0.28824203551851	1805	418	18	10	5	74111800	237
20230903 040123	-0.165389814811203	2613	409	19	10	5	71740200	238
20230903 165814	-0.353058843690131	4526	814	11	10	5	67061400	239
20230903 165950	-0.390695892204697	4533	1552	5	10	5	63284900	240
20230903 170213	-0.478914580524754	4495	1143	13	10	5	67127900	241
20230903 170328	-0.280583580534865	7260	3627	3	10	5	52052700	242
20230903 170531	-0.486850067723043	1835	353	7	10	5	74828600	243
20230903 170817	-0.625124197987765	1966	378	13	10	5	74366600	244
20230903 171019	-0.403480998606188	1516	404	7	10	5	74999400	245
20230903 171226	-0.282104442982991	345	132	7	10	5	71679300	246
20230903 171552	-0.389528232124444	2019	227	20	10	5	73822000	247
20230903 171845	-0.373595444991139	1735	419	15	10	5	74333700	248
20230903 172146	-0.869308200440109	1754	413	17	10	5	74351200	249
20230903 172403	-0.687390166947823	8000	1245	20	10	5	51972200	250
20230903 172623	-0.905289696306763	4352	1637	20	10	5	63224700	251
20230903 172816	-0.0977437822175221	1074	418	6	10	5	73973900	252
20230903 173022	-0.719062127422044	1667	414	7	10	5	75217100	253
20230903 173320	-0.583505615217592	1973	402	16	10	5	74736200	254
20230903 173518	-0.855171907000142	8000	3802	16	10	5	53017300	255
20230903 173738	-0.378987342632472	3747	1873	20	10	5	64185800	256
20230903 174048	-0.910471123521212	1913	340	20	10	5	74074000	257
20230903 174203	-0.56719740950337	6273	3136	3	10	5	51790900	258
20230903 174318	-0.733459593215346	7965	1900	3	10	5	51972200	259
20230903 174520	-0.860228658333828	1438	407	7	10	5	74989600	260
20230903 174808	-0.675495402773336	1957	416	14	10	5	74359600	261
20230903 175114	-0.632204763048034	2014	415	19	10	5	74669700	262
20230903 175316	-0.782989220233957	1616	793	7	10	5	68632900	263
20230903 175509	-0.240241212535128	1668	420	6	10	5	74008200	264
20230903 175710	-0.983369412924919	1733	419	7	10	5	75139400	265
20230903 175914	-0.586427949675973	1669	411	7	10	5	75254900	266
20230903 180114	-0.86821443358808	1960	325	7	10	5	74690000	267
20230903 180315	-0.475564837226261	1632	408	7	10	5	75062400	268
20230903 180513	-0.500501076741328	1711	407	7	10	5	75280800	269
20230903 180730	-0.91643937951037	3714	1316	13	10	5	67154500	270
20230903 180939	-0.379007616679531	1350	409	7	10	5	75013400	271
20230903 181136	-0.254879646694483	1332	419	7	10	5	75304600	272
20230903 181427	-0.569035733875111	1972	540	20	10	5	71218000	273
20230903 181637	-0.114662603068001	4109	2054	18	10	5	63198100	274
20230903 181933	-0.0431805092946982	8000	7	17	10	5	50781500	275
20230903 182107	-0.999683239062358	8000	882	4	10	5	51972200	276
20230903 182405	-0.898737087137481	1682	404	19	10	5	74601100	277
20230903 182703	-0.69111842546677	1784	413	20	10	5	74211900	278
20230903 182947	-0.245462994989201	1713	425	14	10	5	74246200	279
20230903 183214	-0.65836691124063	2489	1238	15	10	5	66771600	280
20230903 183512	-0.770176753768792	1827	415	19	10	5	74137700	281
20230903 183742	-0.905140118216591	2041	1020	14	10	5	65781800	282
20230903 183926	-0.24169575372126	4441	840	6	10	5	67232200	283
20230903 184232	-0.999119400098601	822	407	20	10	5	70846300	284
20230903 184455	-0.626904947183635	4276	381	11	10	5	67090800	285
20230903 184656	-0.46794679177191	7999	2061	20	10	5	52215100	286
20230903 184906	-0.634853017193917	4015	2006	11	10	5	63343000	287
20230903 185204	-0.102800965882088	2030	336	18	10	5	74528300	288
20230903 185403	-0.809638761735914	1527	410	7	10	5	75021800	289
20230903 185605	-0.805564060263073	677	336	7	10	5	73492300	290
20230903 185808	-0.999396973884576	1672	384	7	10	5	75257000	291
20230903 190009	-0.699859387963923	1662	411	7	10	5	75254900	292
20230903 190212	-0.791433497522103	1333	425	7	10	5	75191200	293
20230903 190415	-0.526309898182714	1718	400	7	10	5	75398400	294
20230903 190612	-0.191073276144122	7526	3763	20	10	5	53331600	295
20230903 190818	-0.493970956467479	1423	398	7	10	5	74969300	296
20230903 191013	-0.768397300759927	7998	3267	8	10	5	52084900	297
20230903 191310	-0.0750194155438711	1748	229	15	10	5	73562300	298
20230903 191509	-0.0590109299719982	3149	1564	7	10	5	65018800	299
20230903 191750	-0.725656144220415	1745	419	12	10	5	74333700	300
20230903 191946	-0.0533316311681205	7506	3753	10	10	5	53321800	301
20230903 192148	-0.957798248196537	1710	403	7	10	5	75341000	302
20230903 192348	-0.941917128790642	1711	404	7	10	5	75267500	303
20230903 192550	-0.969982512010424	1728	408	7	10	5	75328400	304
20230903 192758	-0.805364393022756	1400	398	7	10	5	75050500	305
20230903 193045	-0.869126854150355	1703	419	16	10	5	74194400	306
20230903 193247	-0.608809574130427	1691	424	7	10	5	75006400	307
20230903 193512	-0.700665627129897	4012	1130	20	10	5	67758600	308
20230903 193719	-0.967132028660882	1012	502	7	10	5	72602600	309
20230903 193922	-0.737544633324284	1694	421	7	10	5	75121900	310
20230903 194127	-0.390665983445595	1299	431	7	10	5	74959500	311
20230903 194330	-0.551842568010447	1695	343	7	10	5	75239500	312
20230903 194541	-0.59444502553878	4785	2392	20	10	5	61827500	313
20230903 194743	-0.578609885168762	1747	352	7	10	5	75089000	314
20230903 194940	-0.359985360530252	3779	1219	7	10	5	68016200	315
20230903 195134	-0.585801564101009	4051	1216	7	10	5	67881100	316
