fecha	minsplit	minbucket	maxdepth	corte	cp	ganancia	iteracion
20230910 215452	1145	275	8	9500	-1	62.1595	1
20230910 215644	1394	445	8	9500	-1	61.22618	2
20230910 215728	903	313	6	9500	-1	57.98287	3
20230910 215847	739	253	7	9500	-1	56.86288	4
20230910 215935	1462	233	10	9500	-1	57.8662	5
20230910 220049	1224	396	7	9500	-1	60.52618	6
20230910 220146	934	209	12	9500	-1	62.48617	7
20230910 220244	1045	472	12	9500	-1	67.08279	8
20230910 220325	1358	619	6	9500	-1	58.02953	9
20230910 220411	1421	355	9	9500	-1	61.48284	10
20230910 220501	821	301	10	9500	-1	69.88277	11
20230910 220600	1024	440	6	9500	-1	58.02953	12
20230910 220648	1245	257	11	9500	-1	57.5862	13
20230910 220733	1234	510	6	9500	-1	58.02953	14
20230910 220821	911	309	9	9500	-1	65.14614	15
20230910 220909	1333	566	7	9500	-1	60.52618	16
