fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230906 212225	-0.957292268768201	1769	419	7	10	5	70688800	96
20230906 212405	-0.999519815639642	7995	370	6	10	5	50857100	97
20230906 212555	-0.919737830350092	1532	3	6	10	5	66400600	98
20230906 212828	-0.214547824236884	2296	458	14	10	5	69804700	99
20230906 213033	-0.968106028292206	4602	2301	20	10	5	56895300	100
20230906 213312	-0.633402222267806	2272	435	16	10	5	69540800	101
20230906 213539	-0.703105074954595	3611	513	20	10	5	65867900	102
20230906 213806	-0.636550528912485	3478	613	17	10	5	65183300	103
20230906 214005	-0.337906656296899	2203	425	7	10	5	70875000	104
20230906 214239	-0.705791092455644	2253	473	15	10	5	69824300	105
20230906 214514	-0.342376547691199	2220	459	15	10	5	70240100	106
20230906 214657	-0.50496817523139	7996	2149	6	10	5	51205000	107
20230906 214844	-0.789798091271424	2132	429	6	10	5	70778400	108
20230906 215034	-0.722959384286028	2170	433	6	10	5	71202600	109
20230906 215245	-0.079466113341173	2247	417	9	10	5	70118300	110
20230906 215521	-0.496671096100165	2250	477	20	10	5	69813100	111
20230906 215713	-0.682373318058411	2218	424	6	10	5	71271200	112
20230906 215904	-0.917881941917484	1898	444	6	10	5	70707700	113
20230906 220053	-0.584558043976649	2206	394	6	10	5	71570800	114
20230906 220335	-0.397795260781018	2244	421	20	10	5	69769000	115
20230906 220608	-0.0778009273849941	2158	554	20	10	5	68273100	116
20230906 220849	-0.585992316396582	2273	464	20	10	5	69885900	117
20230906 221118	-0.701373801149203	2223	400	7	10	5	71152900	118
20230906 221333	-0.587099875892764	2202	458	6	10	5	71278900	119
20230906 221613	-0.252990089227883	2235	425	20	10	5	69895700	120
20230906 221858	-0.307350562807156	2250	400	17	10	5	69839700	121
20230906 222239	-0.566089870076491	6857	424	20	10	5	52284400	122
20230906 222518	-0.999601072711474	2245	410	20	10	5	70075600	123
20230906 222756	-0.99896919308886	2080	399	13	10	5	69548500	124
20230906 223033	-0.974820558211523	2259	392	15	10	5	69706700	125
20230906 223215	-0.574901947466949	2235	349	6	10	5	70936600	126
20230906 223449	-0.261690668327088	2241	402	14	10	5	70021000	127
20230906 223726	-0.665443026040512	2207	431	20	10	5	69822200	128
20230906 223916	-0.496858468393258	6895	3446	15	10	5	53314800	129
20230906 224151	-0.536576119983404	2213	413	18	10	5	69939100	130
20230906 224335	-0.960657431120893	1162	393	6	10	5	70508200	131
20230906 224520	-0.926316947348333	3582	416	6	10	5	65947700	132
20230906 224754	-0.417327354516388	2199	412	15	10	5	69853000	133
20230906 224949	-0.239008373741314	6668	2201	20	10	5	52399200	134
20230906 225059	-0.0711395061587039	7996	3997	3	10	5	51454200	135
20230906 225237	-0.0760133034169748	7998	1072	6	10	5	51419900	136
20230906 225423	-0.534054975158996	2198	398	6	10	5	71575000	137
20230906 225610	-0.542153839970436	2167	390	6	10	5	71657600	138
20230906 225850	-0.125895009038973	2248	406	19	10	5	69844600	139
20230906 230034	-0.490971777329454	2227	393	6	10	5	71590400	140
20230906 230220	-0.478541204002599	2137	390	6	10	5	71290800	141
20230906 230426	-0.396552135455688	2190	394	8	10	5	70338100	142
20230906 230614	-0.496236087004729	2123	385	6	10	5	70886900	143
20230906 230803	-0.432551133033519	2270	395	6	10	5	71287300	144
20230906 230953	-0.546114563656204	2278	403	6	10	5	71174600	145
20230906 231140	-0.0826811401964495	7986	3993	20	10	5	51544500	146
20230906 231359	-0.103923672880632	2218	424	10	10	5	70002100	147
20230906 231550	-0.693436746480635	1200	378	6	10	5	70126700	148
20230906 231817	-0.999985857210192	4054	485	20	10	5	61914300	149
20230906 232015	-0.0670155546138702	2248	612	7	10	5	67929400	150
20230906 232216	-0.410761530823593	2190	403	7	10	5	70996100	151
20230906 232405	-0.540552225316759	2199	399	6	10	5	71575000	152
20230906 232552	-0.547248538298617	1273	346	6	10	5	69909700	153
20230906 232741	-0.52642628357889	2182	371	6	10	5	71302700	154
20230906 232957	-0.324963032726735	2226	376	9	10	5	70008400	155
20230906 233338	-0.0688394048471817	2239	4	20	10	5	62557600	156
20230906 233529	-0.740424825689129	2120	368	6	10	5	70877100	157
20230906 233810	-0.445522262815194	2237	478	19	10	5	70044800	158
20230906 234042	-0.138401374944145	2266	486	20	10	5	69443500	159
20230906 234230	-0.449728758862262	2203	396	6	10	5	71569400	160
20230906 234419	-0.591845906454415	2122	382	6	10	5	70918400	161
20230906 234602	-0.856824955758152	2155	432	6	10	5	71085000	162
20230906 234800	-0.975619983723568	2138	409	7	10	5	70816200	163
20230906 234941	-0.772125408868045	7998	421	6	10	5	51265900	164
20230906 235211	-0.543800070877066	2201	547	20	10	5	68570600	165
20230906 235454	-0.979585050031728	2217	396	18	10	5	70026600	166
20230906 235729	-0.484957807161135	2292	429	16	10	5	69521900	167
20230907 000007	-0.694173852770586	2229	427	18	10	5	69990200	168
20230907 000211	-0.929846759003476	2163	423	7	10	5	70774200	169
20230907 000451	-0.975427538879085	2161	462	20	10	5	70096600	170
20230907 000642	-0.982360232960798	1417	385	6	10	5	70454300	171
20230907 000832	-0.625826234339921	2168	395	6	10	5	71632400	172
20230907 001019	-0.95048408675982	2171	452	6	10	5	71295000	173
20230907 001211	-0.901939304925033	2175	453	6	10	5	71295000	174
20230907 001448	-0.622728957972206	2233	443	19	10	5	70044100	175
20230907 001723	-0.662456740788216	2195	407	14	10	5	69884500	176
20230907 001951	-0.975624127877323	2176	465	12	10	5	70058800	177
20230907 002138	-0.848893673585245	3988	1990	6	10	5	57791300	178
20230907 002338	-0.0764814813557046	7999	1838	20	10	5	51155300	179
20230907 002529	-0.804301209551309	8000	4000	18	10	5	51535400	180
20230907 002716	-0.635511750047272	2066	402	6	10	5	71215900	181
20230907 002905	-0.66979022939585	2130	390	6	10	5	71290800	182
20230907 003055	-0.694412291403532	2143	379	6	10	5	70868700	183
20230907 003333	-0.363279573572781	2225	450	18	10	5	70018900	184
20230907 003522	-0.767681346659493	1352	431	6	10	5	70411600	185
20230907 003732	-0.0768545723138292	1160	177	8	10	5	65125200	186
20230907 003851	-0.970829417881353	1384	422	3	10	5	56998200	187
20230907 004043	-0.295557394715685	7999	3998	11	10	5	51537500	188
20230907 004226	-0.291892009407219	5875	582	6	10	5	54985700	189
20230907 004419	-0.0869866467834571	2860	450	7	10	5	68938800	190
20230907 004607	-0.774572515331635	2196	450	6	10	5	71322300	191
20230907 004753	-0.623496733427735	2165	434	6	10	5	71202600	192
20230907 005000	-0.484676622122255	3795	1897	20	10	5	57828400	193
20230907 005201	-0.0929783171309198	3691	919	8	10	5	62482000	194
20230907 005356	-0.999330439653065	7999	3043	20	10	5	50850100	195
20230907 005507	-0.770072947030373	8000	3401	3	10	5	51408700	196
20230907 005708	-0.999814553367459	7975	1819	20	10	5	51181200	197
20230907 005920	-0.0832122661156041	3344	1671	20	10	5	58034200	198
20230907 010105	-0.252676294896819	4219	1700	6	10	5	57605800	199
20230907 010220	-0.999769554355993	7996	2367	3	10	5	51179100	200
20230907 010415	-0.163205141009124	7134	3565	20	10	5	52712100	201
20230907 010600	-0.980130560264465	2776	1387	6	10	5	61327000	202
20230907 010749	-0.963590832837018	2209	230	6	10	5	70201600	203
20230907 010935	-0.911255721572246	2189	372	6	10	5	71190000	204
20230907 011131	-0.487150100248013	5212	2604	20	10	5	53909800	205
20230907 011327	-0.999944246875602	8000	3604	11	10	5	51396800	206
20230907 011517	-0.630876425595814	2166	350	6	10	5	71039500	207
20230907 011728	-0.977002126070772	3127	1560	20	10	5	60002600	208
20230907 011954	-0.0963537822217502	2463	818	19	10	5	63732900	209
20230907 012109	-0.0773284258226807	4434	2216	3	10	5	54237400	210
20230907 012311	-0.22799310789803	4403	2200	13	10	5	58153900	211
20230907 012627	-0.0363292807304241	7998	4	20	10	5	49176400	212
20230907 012742	-0.30305231861998	7187	3593	3	10	5	52077200	213
20230907 013020	-0.843991455529352	2624	392	20	10	5	68958400	214
20230907 013256	-0.0967510441052523	1052	486	19	10	5	66593800	215
20230907 013435	-0.897943580728382	7707	1	6	10	5	51072000	216
20230907 013616	-0.847808898147495	4222	1228	6	10	5	60820900	217
20230907 013852	-0.936999920411609	1393	406	13	10	5	67354700	218
